city_id,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date_time
106,sierakow,52.6513,16.0805,31.23,71,24,5.73,PL,2024-04-20 13:41:13
107,minas de marcona,-15.2119,-75.1103,67.39,67,96,7.43,PE,2024-04-20 13:40:04
108,tynda,55.1667,124.7167,26.82,95,100,11.48,RU,2024-04-20 13:41:14
109,mogocha,53.7333,119.7667,25.83,79,97,0.94,RU,2024-04-20 13:39:54
110,mawu,29.5923,107.3139,58.5,98,100,2.28,CN,2024-04-20 13:41:14
111,utrik,11.2278,169.8474,81.61,76,98,15.97,MH,2024-04-20 13:39:22
112,fortuna,40.5982,-124.1573,63.57,43,20,13.8,US,2024-04-20 13:40:28
113,lensk,60.7253,114.9278,33.71,99,100,3.29,RU,2024-04-20 13:36:16
114,lagunas,-5.2269,-75.6753,85.08,70,91,3.76,PE,2024-04-20 13:41:14
115,villa gesell,-37.2639,-56.973,65.93,85,83,10.71,AR,2024-04-20 13:40:12
116,constantia,44.1833,28.65,47.08,87,100,20.29,RO,2024-04-20 13:39:19
117,aykhal,66.0,111.5,27.5,97,100,4.68,RU,2024-04-20 13:39:37
118,rio grande,-32.035,-52.0986,77.11,73,1,8.3,BR,2024-04-20 13:39:36
119,fisterra,42.9049,-9.2629,57.74,72,1,10.78,ES,2024-04-20 13:39:21
120,polyarnyy,69.1989,33.4478,22.8,68,99,19.28,RU,2024-04-20 13:39:13
121,sibolga,1.7427,98.7792,77.09,89,100,2.42,ID,2024-04-20 13:41:15
122,inhambane,-23.865,35.3833,70.83,83,0,3.29,MZ,2024-04-20 13:41:16
123,hohhot,40.8106,111.6522,37.69,81,0,6.71,CN,2024-04-20 13:41:16
124,dongola,19.1667,30.4833,85.42,13,0,11.88,SD,2024-04-20 13:41:16
125,tolanaro,-25.0319,46.9987,71.67,88,20,0.0,MG,2024-04-20 13:39:49
126,dudinka,69.4058,86.1778,-9.38,100,98,0.67,RU,2024-04-20 13:39:17
127,iskateley,67.6803,53.1512,14.02,93,100,21.0,RU,2024-04-20 13:39:19
128,sitamau,24.0167,75.35,80.31,20,100,7.36,IN,2024-04-20 13:41:16
129,port douglas,-16.4833,145.4667,76.32,80,74,2.62,AU,2024-04-20 13:39:54
130,ampanihy,-24.7,44.75,67.12,97,14,3.13,MG,2024-04-20 13:41:17
131,kurumkan,54.3,110.3,33.13,71,53,4.0,RU,2024-04-20 13:41:17
132,midvagur,62.0511,-7.1939,47.23,100,100,5.75,FO,2024-04-20 13:41:17
133,rongelap,11.1635,166.8941,81.28,77,36,16.42,MH,2024-04-20 13:40:25
134,san felipe,10.3399,-68.7425,83.1,66,100,7.29,VE,2024-04-20 13:41:17
135,anadyr,64.75,177.4833,12.0,85,0,17.0,RU,2024-04-20 13:39:30
136,saipan,15.1355,145.701,79.5,83,20,12.66,MP,2024-04-20 13:39:10
137,ujae,8.9322,165.7642,82.18,81,100,21.39,MH,2024-04-20 13:41:18
138,pangody,65.85,74.4859,6.62,91,100,5.37,RU,2024-04-20 13:41:18
139,vila franca do campo,37.7167,-25.4333,64.89,99,100,5.3,PT,2024-04-20 13:39:09
140,uturoa,-16.7333,-151.4333,83.62,74,54,17.31,PF,2024-04-20 13:39:15
141,xicotencatl,23.0167,-98.8833,98.78,33,8,12.46,MX,2024-04-20 13:41:18
142,avarua,-21.2078,-159.775,78.13,78,95,16.67,CK,2024-04-20 13:39:27
143,fort william,56.8165,-5.1121,50.31,79,100,2.66,GB,2024-04-20 13:41:19
144,georgetown,5.4112,100.3354,84.15,79,40,2.3,MY,2024-04-20 13:39:27
145,san patricio,28.017,-97.5169,83.57,55,69,15.21,US,2024-04-20 13:40:12
146,mendi,-6.1761,143.6513,54.12,95,70,3.91,PG,2024-04-20 13:41:19
147,hithadhoo,-0.6,73.0833,84.47,71,80,4.12,MV,2024-04-20 13:39:58
148,plettenberg bay,-34.0527,23.3716,65.12,93,98,4.18,ZA,2024-04-20 13:41:20
149,villa hidalgo,21.6667,-102.6,84.97,9,0,17.16,MX,2024-04-20 13:41:20
150,salto del guaira,-24.0625,-54.3069,73.62,59,0,4.09,PY,2024-04-20 13:41:20
151,albany,42.6001,-73.9662,50.32,61,94,8.01,US,2024-04-20 13:36:52
152,richards bay,-28.783,32.0377,72.18,82,5,6.55,ZA,2024-04-20 13:39:14
153,crane,31.3974,-102.3501,54.21,81,100,17.43,US,2024-04-20 13:40:11
154,plastun,44.7561,136.2939,37.49,89,99,2.73,RU,2024-04-20 13:41:21
155,santa elena de uairen,4.6167,-61.1333,78.13,66,84,3.85,VE,2024-04-20 13:41:21
156,dom pedrito,-30.9828,-54.6731,67.15,81,0,5.06,BR,2024-04-20 13:41:21
157,ushuaia,-54.8,-68.3,38.86,81,75,23.02,AR,2024-04-20 13:39:11
158,maraba,-5.3686,-49.1178,84.38,84,75,0.0,BR,2024-04-20 13:41:21
159,illizi,26.4833,8.4667,87.6,8,39,5.03,DZ,2024-04-20 13:41:22
160,wynyard,-41.0,145.7167,51.66,81,72,9.4,AU,2024-04-20 13:41:22
161,lihue,21.9789,-159.3672,75.33,65,75,10.36,US,2024-04-20 13:39:21
162,constitucion,-35.3333,-72.4167,60.08,64,100,10.92,CL,2024-04-20 13:41:22
163,pativilca,-10.7,-77.7833,73.47,72,47,9.35,PE,2024-04-20 13:41:22
164,misratah,32.3754,15.0925,62.31,66,74,12.59,LY,2024-04-20 13:41:23
165,klyuchi,52.2667,79.1667,44.44,52,11,5.46,RU,2024-04-20 13:39:42
166,afaahiti,-17.75,-149.2833,85.87,76,87,16.98,PF,2024-04-20 13:39:17
167,arraial do cabo,-22.9661,-42.0278,76.86,36,0,6.91,BR,2024-04-20 13:39:18
168,tual,-5.6667,132.75,83.8,78,94,5.44,ID,2024-04-20 13:41:23
169,vila velha,-20.3297,-40.2925,75.94,84,40,13.0,BR,2024-04-20 13:39:48
170,zeya,53.75,127.2667,38.48,75,100,10.29,RU,2024-04-20 13:41:23
171,teguise,29.0605,-13.564,66.42,68,20,11.5,ES,2024-04-20 13:41:23
172,xai-xai,-25.0519,33.6442,68.92,81,0,7.2,MZ,2024-04-20 13:41:24
173,lysekil,58.2743,11.4358,33.98,87,21,9.26,SE,2024-04-20 13:41:24
174,yanam,16.7333,82.2167,77.31,66,99,4.5,IN,2024-04-20 13:41:24
175,mount gambier,-37.8333,140.7667,43.11,97,53,1.88,AU,2024-04-20 13:40:11
176,kavaratti,10.5669,72.642,85.66,75,100,11.83,IN,2024-04-20 13:41:24
177,khirkiyan,22.1667,76.85,88.05,21,71,7.11,IN,2024-04-20 13:41:25
178,el calafate,-50.3408,-72.2768,41.32,60,2,11.48,AR,2024-04-20 13:41:25
179,flin flon,54.7682,-101.865,46.24,36,40,8.05,CA,2024-04-20 13:41:25
180,port alfred,-33.5906,26.891,69.19,96,100,10.29,ZA,2024-04-20 13:39:31
181,kraksaan,-7.7585,113.3962,79.02,85,70,4.47,ID,2024-04-20 13:41:25
182,mocimboa,-11.3167,40.35,75.67,92,76,8.34,MZ,2024-04-20 13:41:25
183,goure,13.9835,10.2704,84.02,13,22,0.09,NE,2024-04-20 13:41:26
184,fiche,9.8,38.7333,58.95,57,100,5.48,ET,2024-04-20 13:41:26
